x,upper,lower,trend
599,5152.136135051186,4550.238520596199,4851.187327823693
600,5145.595871838463,4543.698257383476,4844.647064610969
601,5139.05560862574,4537.157994170753,4838.106801398247
602,5132.515345413017,4530.61773095803,4831.566538185523
603,5125.975082200293,4524.077467745306,4825.0262749728
604,5119.434818987571,4517.537204532584,4818.486011760077
605,5112.8945557748475,4510.9969413198605,4811.945748547354
606,5106.354292562124,4504.456678107137,4805.405485334631
607,5099.814029349402,4497.916414894415,4798.865222121908
608,5093.273766136678,4491.376151681691,4792.324958909185
609,5086.733502923955,4484.835888468968,4785.784695696461
610,5080.193239711232,4478.295625256245,4779.244432483739
611,5073.652976498509,4471.755362043522,4772.704169271015
612,5067.1127132857855,4465.2150988307985,4766.163906058292
613,5060.572450073063,4458.674835618076,4759.6236428455695
614,5054.03218686034,4452.134572405353,4753.083379632846
615,5047.491923647616,4445.594309192629,4746.543116420123
616,5040.951660434894,4439.054045979907,4740.0028532074
617,5034.41139722217,4432.513782767183,4733.462589994677
618,5027.871134009447,4425.97351955446,4726.922326781953
619,5021.3308707967235,4419.4332563417365,4720.38206356923
620,5014.790607584001,4412.892993129014,4713.8418003565075
621,5008.250344371278,4406.352729916291,4707.301537143784
622,5001.710081158554,4399.812466703567,4700.761273931061
623,4995.169817945832,4393.272203490845,4694.221010718338
624,4988.629554733108,4386.731940278121,4687.680747505615
625,4982.089291520385,4380.191677065398,4681.140484292891
626,4975.549028307662,4373.651413852675,4674.600221080169
627,4969.008765094939,4367.111150639952,4668.0599578674455
628,4962.468501882216,4360.570887427229,4661.519694654722
629,4955.928238669493,4354.030624214506,4654.979431442
630,4949.38797545677,4347.490361001783,4648.439168229276
631,4942.847712244046,4340.950097789059,4641.898905016553
632,4936.307449031324,4334.409834576337,4635.35864180383
633,4929.7671858186,4327.869571363613,4628.818378591107
634,4923.226922605877,4321.32930815089,4622.2781153783835
635,4916.6866593931545,4314.7890449381675,4615.737852165661
636,4910.146396180431,4308.248781725444,4609.197588952938
637,4903.606132967708,4301.708518512721,4602.657325740214
638,4897.065869754985,4295.168255299998,4596.117062527492
639,4890.525606542262,4288.627992087275,4589.576799314768
640,4883.985343329538,4282.087728874551,4583.036536102045
641,4877.445080116816,4275.547465661829,4576.496272889322
642,4870.9048169040925,4269.0072024491055,4569.956009676599
643,4864.364553691369,4262.466939236382,4563.415746463876
644,4857.824290478647,4255.92667602366,4556.875483251153
645,4851.284027265923,4249.386412810936,4550.33522003843
646,4844.7437640532,4242.846149598213,4543.794956825706
647,4838.203500840477,4236.30588638549,4537.254693612984
648,4831.663237627754,4229.765623172767,4530.71443040026
649,4825.1229744150305,4223.2253599600435,4524.174167187537
650,4818.582711202308,4216.685096747321,4517.6339039748145
651,4812.042447989585,4210.144833534598,4511.093640762091
652,4805.502184776861,4203.604570321874,4504.553377549368
653,4798.961921564139,4197.064307109152,4498.013114336645
654,4792.421658351415,4190.524043896428,4491.472851123922
655,4785.881395138692,4183.983780683705,4484.932587911198
656,4779.341131925969,4177.443517470982,4478.392324698476
657,4772.800868713246,4170.903254258259,4471.8520614857525
658,4766.260605500523,4164.362991045536,4465.311798273029
659,4759.7203422878,4157.822727832813,4458.771535060307
660,4753.180079075077,4151.28246462009,4452.231271847583
661,4746.639815862353,4144.742201407366,4445.69100863486
662,4740.099552649631,4138.201938194644,4439.150745422137
663,4733.559289436907,4131.66167498192,4432.610482209414
664,4727.019026224184,4125.121411769197,4426.0702189966905
665,4720.478763011461,4118.581148556474,4419.529955783967
666,4713.938499798738,4112.040885343751,4412.989692571245
667,4707.398236586015,4105.500622131028,4406.449429358521
668,4700.857973373291,4098.960358918304,4399.909166145798
669,4694.317710160569,4092.420095705582,4393.368902933075
670,4687.777446947845,4085.8798324928584,4386.828639720352
671,4681.237183735122,4079.339569280135,4380.2883765076285
672,4674.6969205223995,4072.7993060674125,4373.748113294906
673,4668.156657309676,4066.259042854689,4367.207850082183
674,4661.616394096953,4059.7187796419657,4360.667586869459
675,4655.07613088423,4053.1785164292432,4354.127323656737
676,4648.535867671507,4046.63825321652,4347.587060444013
677,4641.995604458783,4040.0979900037964,4341.04679723129
678,4635.455341246061,4033.557726791074,4334.506534018567
679,4628.9150780333375,4027.0174635783505,4327.966270805844
680,4622.374814820614,4020.477200365627,4321.426007593121
681,4615.834551607892,4013.9369371529046,4314.885744380398
682,4609.294288395168,4007.3966739401812,4308.345481167675
683,4602.754025182445,4000.856410727458,4301.805217954951
684,4596.213761969722,3994.3161475147353,4295.264954742229
685,4589.673498756999,3987.775884302012,4288.724691529505
686,4583.1332355442755,3981.2356210892885,4282.184428316782
687,4576.592972331553,3974.695357876566,4275.6441651040595
688,4570.05270911883,3968.1550946638426,4269.103901891336
689,4563.512445906106,3961.6148314511192,4262.563638678613
690,4556.972182693384,3955.0745682383968,4256.02337546589
691,4550.43191948066,3948.5343050256733,4249.483112253167
692,4543.891656267937,3941.99404181295,4242.942849040443
693,4537.351393055214,3935.4537786002275,4236.402585827721
694,4530.811129842491,3928.913515387504,4229.8623226149975
695,4524.270866629768,3922.3732521747806,4223.322059402274
696,4517.730603417044,3915.8329889620572,4216.781796189551
697,4511.190340204322,3909.2927257493347,4210.241532976828
698,4504.650076991598,3902.7524625366113,4203.701269764105
699,4498.109813778875,3896.212199323888,4197.161006551381
700,4491.569550566152,3889.6719361111655,4190.620743338659
701,4485.029287353429,3883.131672898442,4184.0804801259355
702,4478.489024140706,3876.5914096857186,4177.540216913212
703,4471.948760927983,3870.051146472996,4170.99995370049
704,4465.40849771526,3863.5108832602727,4164.459690487766
705,4458.868234502536,3856.9706200475493,4157.919427275043
706,4452.327971289814,3850.430356834827,4151.37916406232
707,4445.78770807709,3843.8900936221034,4144.838900849597
708,4439.247444864367,3837.34983040938,4138.2986376368735
709,4432.7071816516445,3830.8095671966576,4131.758374424151
710,4426.166918438921,3824.269303983934,4125.218111211428
711,4419.626655226198,3817.7290407712107,4118.677847998704
712,4413.086392013475,3811.1887775584883,4112.137584785982
713,4406.546128800752,3804.648514345765,4105.597321573258
714,4400.005865588028,3798.1082511330414,4099.057058360535
715,4393.465602375306,3791.567987920319,4092.5167951478124
716,4386.9253391625825,3785.0277247075956,4085.976531935089
717,4380.385075949859,3778.487461494873,4079.436268722366
718,4373.844812737137,3771.9471982821497,4072.896005509643
