Stock Names
ADRO.JK
DKHH.JK
GOTO.JK
BBRI.JK
BBCA.JK
ANTM.JK
BMRI.JK
ADMR.JK
TLKM.JK
MDKA.JK
MBMA.JK
AADI.JK
ASII.JK
PGEO.JK
TOBA.JK
PNLF.JK
SCMA.JK
BUMI.JK
BREN.JK
MSIN.JK
BBNI.JK
COCO.JK
PGAS.JK
TPIA.JK
GZCO.JK
PTRO.JK
WIFI.JK
ERAA.JK
BRMS.JK
UNVR.JK
SRTG.JK
KBLV.JK
RAJA.JK
ISAT.JK
CBDK.JK
PTBA.JK
AMRT.JK
NCKL.JK
ESSA.JK
BRIS.JK
PRIM.JK
ELSA.JK
INKP.JK
ARTO.JK
CUAN.JK
PWON.JK
PANI.JK
BRPT.JK
AMMN.JK
INDF.JK
SMGR.JK
SIDO.JK
DATA.JK
ERTX.JK
MTEL.JK
BEEF.JK
TINS.JK
DKFT.JK
SMRA.JK
ACES.JK
INCO.JK
JPFA.JK
RALS.JK
PTPP.JK
MAPA.JK
SMDR.JK
JSMR.JK
MPOW.JK
KLBF.JK
CMRY.JK
PNBN.JK
DEWA.JK
RATU.JK
HRTA.JK
DMAS.JK
LMPI.JK
PPRI.JK
MARK.JK
UNTR.JK
BMTR.JK
INDY.JK
HRUM.JK
MAPI.JK
PSAB.JK
ITMG.JK
ICBP.JK
DOOH.JK
BBTN.JK
FORE.JK
SMIL.JK
MEDC.JK
MYOR.JK
DEWI.JK
BUKA.JK
SMGA.JK
SOLA.JK
TOWR.JK
INTP.JK
STRK.JK
AKRA.JK
FOLK.JK
CTRA.JK
ENRG.JK
PYFA.JK
IOTF.JK
TKIM.JK
BNGA.JK
BFIN.JK
WIRG.JK
BCAP.JK
PART.JK
CLEO.JK
ADHI.JK
TAPG.JK
BKSL.JK
MNCN.JK
DSNG.JK
HATM.JK
LABA.JK
BIRD.JK
ASSA.JK
CPIN.JK
DWGL.JK
KOKA.JK
BJTM.JK
EXCL.JK
SGER.JK
AHAP.JK
TGUK.JK
SGRO.JK
LPPF.JK
HAJJ.JK
BTPS.JK
HGII.JK
BSDE.JK
SATU.JK
HEAL.JK
POWR.JK
CARE.JK
BBKP.JK
BIPI.JK
SMBR.JK
SULI.JK
DSSA.JK
NINE.JK
DGWG.JK
AUTO.JK
HUMI.JK
MIKA.JK
BBYB.JK
TCPI.JK
CYBR.JK
TPMA.JK
WAPO.JK
MDLA.JK
EMTK.JK
KPIG.JK
MPMX.JK
SSIA.JK
UNIQ.JK
KAEF.JK
PRDA.JK
AYLS.JK
HILL.JK
OASA.JK
UNTD.JK
MIDI.JK
FITT.JK
BATR.JK
INET.JK
KKGI.JK
BDKR.JK
MINE.JK
PAMG.JK
LSIP.JK
AREA.JK
MINA.JK
CASA.JK
IMJS.JK
AVIA.JK
STAA.JK
DOID.JK
GPRA.JK
IPCC.JK
BJBR.JK
VTNY.JK
DMMX.JK
HMSP.JK
ARCI.JK
MLPL.JK
ULTJ.JK
ELIT.JK
PTPS.JK
APIC.JK
CAMP.JK
KOPI.JK
DNAR.JK
ITMA.JK
FILM.JK
NISP.JK
VKTR.JK
ASRI.JK
FUTR.JK
LIVE.JK
BANK.JK
HOKI.JK
SSMS.JK
FAST.JK
NAIK.JK
BSSR.JK
CGAS.JK
SILO.JK
AWAN.JK
TOTL.JK
SPRE.JK
TAYS.JK
CNMA.JK
GJTL.JK
WIIM.JK
DILD.JK
AGRO.JK
TUGU.JK
BULL.JK
OPMS.JK
CMNT.JK
AALI.JK
DAYA.JK
BSBK.JK
FWCT.JK
ABMM.JK
GEMS.JK
MPIX.JK
IDPR.JK
TMAS.JK
NICE.JK
OILS.JK
LUCK.JK
INPC.JK
ISEA.JK
GGRM.JK
JARR.JK
DAAZ.JK
KLAS.JK
LPKR.JK
FIRE.JK
APEX.JK
IMPC.JK
HEXA.JK
UVCR.JK
KIJA.JK
SMSM.JK
SOFA.JK
PIPA.JK
BIKE.JK
CENT.JK
UCID.JK
NSSS.JK
INAI.JK
BOAT.JK
AKSI.JK
PACK.JK
BLES.JK
WINS.JK
PBSA.JK
CFIN.JK
LMAX.JK
OBAT.JK
BHAT.JK
APLN.JK
ERAL.JK
NFCX.JK
ASLC.JK
SIMP.JK
PTMP.JK
TEBE.JK
BAIK.JK
CMNP.JK
GOLF.JK
MSKY.JK
JAST.JK
BDMN.JK
PNIN.JK
BPFI.JK
MAIN.JK
MTDL.JK
TNCA.JK
BOLT.JK
BEST.JK
AISA.JK
CPRO.JK
AMAN.JK
SNLK.JK
DOSS.JK
MTMH.JK
BTEK.JK
IRRA.JK
KOBX.JK
MGRO.JK
PMMP.JK
KOCI.JK
MPXL.JK
NETV.JK
PANR.JK
FORU.JK
KEEN.JK
KRAS.JK
BEER.JK
SURI.JK
BABP.JK
MTFN.JK
YUPI.JK
MCOL.JK
TSPC.JK
TRUK.JK
MDLN.JK
ACRO.JK
PSGO.JK
VOKS.JK
JIHD.JK
INDO.JK
RGAS.JK
SKRN.JK
DGIK.JK
MBAP.JK
DPUM.JK
ZYRX.JK
LEAD.JK
TOTO.JK
TBLA.JK
BESS.JK
HAIS.JK
ARNA.JK
KMTR.JK
HALO.JK
MAHA.JK
BUVA.JK
VAST.JK
PBRX.JK
NRCA.JK
SAME.JK
SAFE.JK
MPPA.JK
UFOE.JK
JAWA.JK
TLDN.JK
WTON.JK
BOGA.JK
PANS.JK
SLIS.JK
ROTI.JK
BSML.JK
KAQI.JK
TAXI.JK
BWPT.JK
MCAS.JK
BNLI.JK
NASI.JK
GTRA.JK
NOBU.JK
IMAS.JK
IMAS.JK
HERO.JK
BKSW.JK
OBMD.JK
IPCM.JK
BOBA.JK
RCCC.JK
CITY.JK
BBHI.JK
LTLS.JK
BCIP.JK
ASGR.JK
PEGE.JK
DGNS.JK
BUAH.JK
GPSO.JK
PBID.JK
BRRC.JK
WEGE.JK
PSDN.JK
DRMA.JK
KIOS.JK
CHIP.JK
MENN.JK
AEGS.JK
ANJT.JK
SSTM.JK
INDS.JK
MSTI.JK
AXIO.JK
GIAA.JK
VISI.JK
MMIX.JK
LABS.JK
REAL.JK
FMII.JK
SRSN.JK
DSFI.JK
BAUT.JK
CITA.JK
MLBI.JK
CITA.JK
SICO.JK
NELY.JK
KJEN.JK
CRSN.JK
AYAM.JK
CSAP.JK
ALII.JK
WIDI.JK
CHEM.JK
HADE.JK
MHKI.JK
BGTG.JK
NANO.JK
AGII.JK
SEMA.JK
AMMS.JK
TBIG.JK
VERN.JK
IPTV.JK
AMAG.JK
DYAN.JK
IKAN.JK
BEKS.JK
LPCK.JK
ISSP.JK
MSIE.JK
PUDP.JK
RAAM.JK
WOOD.JK
HELI.JK
EAST.JK
OMED.JK
ISAP.JK
JKON.JK
OKAS.JK
ATLA.JK
SOUL.JK
BABY.JK
ELTY.JK
PPRE.JK
FLMC.JK
BMHS.JK
IFII.JK
TFAS.JK
PJAA.JK
SBMA.JK
NIKL.JK
ARKO.JK
MANG.JK
SPTO.JK
UNIC.JK
PSSI.JK
BHIT.JK
PICO.JK
KING.JK
NAYZ.JK
BMBL.JK
AGRS.JK
GULA.JK
SKLT.JK
GEMA.JK
ECII.JK
NEST.JK
PURI.JK
CSRA.JK
SUNI.JK
KETR.JK
HBAT.JK
YOII.JK
TRUS.JK
MLIA.JK
JRPT.JK
BELL.JK
BNII.JK
PURA.JK
CNKO.JK
JECC.JK
SAPX.JK
SAPX.JK
GTSI.JK
ADMF.JK
MCOR.JK
GRPM.JK
SMLE.JK
ZINC.JK
DIVA.JK
LUCY.JK
CLPI.JK
SOCI.JK
ASPI.JK
WGSH.JK
LCKM.JK
ASHA.JK
LPGI.JK
ARII.JK
CASH.JK
SMDM.JK
RMKE.JK
RMKE.JK
GTBO.JK
JMAS.JK
EMDE.JK
BVIC.JK
BBSS.JK
NZIA.JK
BMSR.JK
TRJA.JK
RAFI.JK
ALKA.JK
PEHA.JK
MITI.JK
BINO.JK
TAMU.JK
ZATA.JK
IATA.JK
GUNA.JK
JTPE.JK
BATA.JK
BELI.JK
KEJU.JK
BAPI.JK
JAYA.JK
TMPO.JK
UANG.JK
WSBP.JK
DADA.JK
LION.JK
COAL.JK
RUIS.JK
CEKA.JK
BPTR.JK
JGLE.JK
ABBA.JK
SAGE.JK
KREN.JK
CSIS.JK
ARKA.JK
TARA.JK
TARA.JK
TRON.JK
BISI.JK
KSIX.JK
LAND.JK
MOLI.JK
GOOD.JK
AMAR.JK
MDIY.JK
INCI.JK
CCSI.JK
SCCO.JK
MIRA.JK
