Date,Open,High,Low,Close,Volume
2022-05-20 00:00:00,426.0,440.0,426.0,434.0,226200
2022-05-23 00:00:00,434.0,444.0,434.0,436.0,216200
2022-05-24 00:00:00,438.0,440.0,430.0,438.0,211300
2022-05-25 00:00:00,440.0,440.0,434.0,436.0,91200
2022-05-27 00:00:00,436.0,440.0,430.0,432.0,566700
2022-05-30 00:00:00,432.0,438.0,432.0,436.0,116100
2022-05-31 00:00:00,438.0,438.0,430.0,436.0,112300
2022-06-02 00:00:00,436.0,446.0,432.0,440.0,439700
2022-06-03 00:00:00,442.0,480.0,438.0,464.0,1928100
2022-06-06 00:00:00,464.0,478.0,452.0,452.0,628900
2022-06-07 00:00:00,452.0,464.0,446.0,458.0,279500
2022-06-08 00:00:00,458.0,470.0,456.0,460.0,151600
2022-06-09 00:00:00,460.0,468.0,450.0,460.0,495400
2022-06-10 00:00:00,460.0,460.0,450.0,460.0,269200
2022-06-13 00:00:00,464.0,494.0,464.0,480.0,3279700
2022-06-14 00:00:00,480.0,490.0,450.0,458.0,3395400
2022-06-15 00:00:00,458.0,468.0,442.0,450.0,923300
2022-06-16 00:00:00,462.0,462.0,450.0,454.0,144600
2022-06-17 00:00:00,454.0,468.0,448.0,454.0,402900
2022-06-20 00:00:00,456.0,492.0,454.0,480.0,1582500
2022-06-21 00:00:00,480.0,486.0,470.0,474.0,507600
2022-06-22 00:00:00,474.0,490.0,466.0,470.0,333200
2022-06-23 00:00:00,470.0,476.0,454.0,456.0,316300
2022-06-24 00:00:00,458.0,570.0,456.0,570.0,9593600
2022-06-27 00:00:00,670.0,670.0,535.0,535.0,1299000
2022-06-28 00:00:00,500.0,580.0,500.0,535.0,3190100
2022-06-29 00:00:00,535.0,560.0,515.0,530.0,475400
2022-06-30 00:00:00,525.0,560.0,515.0,560.0,1163300
2022-07-01 00:00:00,560.0,560.0,525.0,550.0,656600
2022-07-04 00:00:00,550.0,555.0,515.0,525.0,1334600
2022-07-05 00:00:00,525.0,550.0,525.0,540.0,252800
2022-07-06 00:00:00,540.0,560.0,525.0,540.0,475900
2022-07-07 00:00:00,540.0,555.0,510.0,530.0,482900
2022-07-08 00:00:00,525.0,540.0,494.0,505.0,1071700
2022-07-11 00:00:00,510.0,515.0,490.0,498.0,947700
2022-07-12 00:00:00,498.0,515.0,492.0,505.0,548200
2022-07-13 00:00:00,520.0,520.0,496.0,498.0,254400
2022-07-14 00:00:00,515.0,515.0,494.0,498.0,216600
2022-07-15 00:00:00,498.0,510.0,496.0,496.0,55200
2022-07-18 00:00:00,496.0,505.0,496.0,498.0,73700
2022-07-19 00:00:00,498.0,510.0,498.0,505.0,105000
2022-07-20 00:00:00,505.0,530.0,505.0,510.0,391100
2022-07-21 00:00:00,520.0,520.0,500.0,500.0,297000
2022-07-22 00:00:00,505.0,510.0,498.0,500.0,320400
2022-07-25 00:00:00,498.0,510.0,498.0,510.0,156000
2022-07-26 00:00:00,510.0,510.0,498.0,498.0,468600
2022-07-27 00:00:00,500.0,500.0,496.0,496.0,361500
